checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/ae53b61b-6916-4159-9851-953aefaba7bb/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/6f0e792c-6e8b-45de-96ad-9b46e4b96a7b/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/14157885-3073-4754-be07-f95b78d11a7d/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/14c6f00f-5851-495a-a6a4-c01f7dfc85a7/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/1f9226bc-547e-4d02-93ac-e7dfbd588857/payments HTTP/1.1" 499 0 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/b83c8e8e-2b9b-4d91-a8f6-f930bb879b41/payments HTTP/1.1" 499 0 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/4d098c72-fd4e-4802-8452-6c840f9de68e/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/53388677-6756-4077-bd5e-ef0d7d57238c/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/f11c0165-2427-4b3a-b495-c65e6347c4fc/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/69fe354e-d975-4dfc-83c1-17dcc7f26061/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [io-8080-exec-10] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [io-8080-exec-12] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/851eb288-1c12-4d99-ad06-5c1f4a22f59b/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/2a4e5cc2-cdc7-43b0-a4ce-2ee4d878ed5f/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/eed026da-47a1-4001-a416-ed82b376a0e0/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/2643fc9c-c752-43f5-8906-c8ebc6d01c9a/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/a4159512-cda0-4c84-9064-de888635f65a/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/7d818b55-1da0-4980-a3c3-c64dbf19201e/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:43 +0000] "POST /api/orders/79f24f50-756c-4188-9295-2e1513be0882/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/fcd59f1d-fb2c-46ec-927f-932561e8be7b/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/3fc4e90f-96e0-4400-9d6f-670a05067f34/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/71ccad5c-bc6a-4622-90b0-4c1f32a155fa/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/1f9226bc-547e-4d02-93ac-e7dfbd588857/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/7f58aaa0-0158-43dc-87d4-1e57cbfe6520/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/694a6159-ddce-454d-bb67-f232f850d5c0/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [nio-8080-exec-7] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/fc84da0f-1e65-4de9-a622-ce78b2722ea7/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/b83c8e8e-2b9b-4d91-a8f6-f930bb879b41/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:44 +0000] "POST /api/orders/8c31192f-e170-4d8b-ad6c-c5d72715b0a4/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/98988442-bf5e-47f0-ad3a-7eea2719630f/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/39f95370-4e11-4405-b05a-3ca22332cd16/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/bd8f7371-2786-426f-b1de-fab59f541550/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/ec11f03f-7038-4b33-bca0-ac953f4264c8/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/27fd2a57-76c1-4808-a40c-047325458316/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/d3d1dfc8-8a25-4bab-b436-2a8a23d19507/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/6a72b378-5149-40fa-83c1-41ce0e336419/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/50c7eb6e-fa3a-4349-a9d4-f7c4ed0614cf/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/f03bfb53-02a1-4d67-89a7-1cd41b475857/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/4257a932-182a-40ba-b651-b696116a173a/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:45 +0000] "POST /api/orders/e9335ec4-45a3-4601-9883-06f819dfabdd/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/06314635-3db8-4ede-8988-03b82267d770/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/b3dfd59c-836c-45ae-9b89-0144e944b7cf/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/49601246-0011-4d3a-968f-616fa18741f2/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/469549ae-cdef-4da5-aa31-8beb726401f1/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/75db8ff1-0ba6-41f8-b204-62d6065b3c63/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/4cdca408-0e12-4476-ae3f-25d5d3150f47/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/9d435770-281b-431d-ad5e-20055374344e/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/99534825-c756-418b-87f7-d6e45b0bc855/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/e7e24528-c1ee-4665-8f08-d590cb4c5a8b/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/f8aa8914-7004-415e-90a7-bb3223a49d7b/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/83f21b28-a550-49ef-83a4-163ab15990db/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/ecd777aa-4f07-4ee8-a46f-56dff71ea6c8/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/3d6bbd5c-4b3a-428e-a6ad-24f46595a08a/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/eac65f5f-b1fd-4b70-909a-10835df3efc8/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:46 +0000] "POST /api/orders/7f6227fc-8e57-4e05-8adc-3572e4c90a0e/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/52780497-874f-4bf2-abb3-516ca93d0d8b/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/16410c9f-b59a-47d0-bf74-7e923a1a7e04/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/a6b700de-564f-450c-8673-869d4da4458a/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/23de0c3b-b553-4390-81e6-7a747c956688/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/24f3969b-007f-46de-84e9-7c3f0f907a6e/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/0c68fd4e-4343-4c3b-afd4-6d143d9fbc09/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
payment-1         | 2026-09-11T14:47:40.034Z ERROR 1 --- [limited-goods] [io-8080-exec-12] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=4)
payment-1         | 2026-09-11T14:47:40.034Z ERROR 1 --- [limited-goods] [nio-8080-exec-7] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1092ms (total=4, active=4, idle=0, waiting=9)
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [nio-8080-exec-5] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [nio-8080-exec-8] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.034Z ERROR 1 --- [limited-goods] [nio-8080-exec-5] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1003ms (total=4, active=4, idle=0, waiting=10)
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [nio-8080-exec-1] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.034Z ERROR 1 --- [limited-goods] [nio-8080-exec-8] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1003ms (total=4, active=4, idle=0, waiting=10)
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [io-8080-exec-11] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.034Z ERROR 1 --- [limited-goods] [nio-8080-exec-1] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=5)
payment-1         | 2026-09-11T14:47:40.034Z  WARN 1 --- [limited-goods] [nio-8080-exec-9] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.034Z ERROR 1 --- [limited-goods] [io-8080-exec-10] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=7)
payment-1         | 2026-09-11T14:47:40.035Z ERROR 1 --- [limited-goods] [io-8080-exec-11] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=6)
payment-1         | 2026-09-11T14:47:40.035Z ERROR 1 --- [limited-goods] [nio-8080-exec-9] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=6)
payment-1         | 2026-09-11T14:47:40.136Z  WARN 1 --- [limited-goods] [io-8080-exec-13] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: null
payment-1         | 2026-09-11T14:47:40.136Z ERROR 1 --- [limited-goods] [io-8080-exec-13] o.h.engine.jdbc.spi.SqlExceptionHelper   : HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=3)
payment-1         | 2026-09-11T14:47:40.135Z ERROR 1 --- [limited-goods] [io-8080-exec-11] o.a.c.c.C.[.[.[/].[dispatcherServlet]    : Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed: org.springframework.transaction.CannotCreateTransactionException: Could not open JPA EntityManager for transaction] with root cause
payment-1         | 
payment-1         | java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 1000ms (total=4, active=4, idle=0, waiting=6)
payment-1         | 	at com.zaxxer.hikari.pool.HikariPool.createTimeoutException(HikariPool.java:714) ~[HikariCP-6.3.3.jar!/:na]
payment-1         | 	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:184) ~[HikariCP-6.3.3.jar!/:na]
payment-1         | 	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:142) ~[HikariCP-6.3.3.jar!/:na]
payment-1         | 	at com.zaxxer.hikari.HikariDataSource.getConnection(HikariDataSource.java:127) ~[HikariCP-6.3.3.jar!/:na]
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/bf70c2b9-9ddd-4d2d-842b-94342ce009c6/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/49599acb-5419-40c8-9eaf-4e3b30eccd0f/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/856e1f48-edda-4301-87a0-20c65fe788f6/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/8733cfb0-2968-4481-838b-257a90eaefa0/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/b705cd09-95b6-4eeb-81a3-7885bd73f991/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/65fce644-0135-46bd-805c-21f5f905fef4/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/38c8b62e-84a6-4d92-8e41-1f274e9b9545/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/356c0f34-cc23-4572-af79-f28bf7a6a051/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/f37189cb-8d8e-4ad9-9d7d-cfa1954dc917/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/f7b96d1f-2839-4ad9-8a98-554ec9a6dc74/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/6bd4c638-52af-466a-bff4-cc6b117c4cbe/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:47 +0000] "POST /api/orders/35044cdd-bbd4-47d3-a5d9-f580370dc575/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:48 +0000] "POST /api/orders/27d64f4e-1bf0-492f-853c-3ca23b09bbf2/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:48 +0000] "POST /api/orders/07d38f57-09c8-4a52-b66c-ee958e318933/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:48 +0000] "POST /api/orders/cc17449e-e51f-495a-afeb-fcba603d1d90/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:48 +0000] "POST /api/orders/01290c32-c2aa-4e52-a0ac-5f4cc83e0c4e/payments HTTP/1.1" 202 96 "-" "k6/0.54.0 (https://k6.io/)"
